side,entry_idx,entry_date,entry_price,units,invest,fee_entry,confidence,regime,stop_distance,tp_distance,exit_idx,exit_date,exit_price,fee_exit,pnl,return,exit_reason
short,405,2023-11-23 05:00:00+00:00,1996.1014255981445,1.7627121398689847,3520.3123714973844,1.7601561857486923,0.44383688584386327,bear,5.592857142857085,9.94285714285704,414,2023-11-23 15:00:00+00:00,1994.196551147461,1.7575972349962452,1.6001480841497884,0.0004545471865240062,signal_exit
long,415,2023-11-23 16:00:00+00:00,1992.5957755737302,1.767551923988225,3520.256368661825,1.7601281843309124,0.4203545393896657,bear,5.194288853236637,9.23429129464291,434,2023-11-24 11:00:00+00:00,1998.5002721835053,1.766226500594473,8.670277842195684,0.0024629677313790545,signal_exit
short,436,2023-11-24 13:00:00+00:00,1999.8995854936084,2.515064548469415,5032.392744345825,2.516196372172913,0.49685851837672423,bull,5.941195084212625,10.562124594155778,439,2023-11-24 15:00:00+00:00,2001.7003622131347,2.517202808830321,-7.046272495820036,-0.001400183342950909,signal_exit
long,441,2023-11-24 16:00:00+00:00,2000.9499872131346,2.513868586327136,5027.611509911829,2.5138057549559143,0.5806911369441448,bull,7.264332798549137,12.91436941964291,500,2023-11-27 01:00:00+00:00,2011.6936011962891,2.5285666746813305,24.479467021195873,0.004869005286692324,signal_exit
short,501,2023-11-27 02:00:00+00:00,2010.8940744018555,2.504395983598821,5038.594340544949,2.5192971702724747,0.5490174724545731,bull,6.840899076915886,12.161598358961577,502,2023-11-27 03:00:00+00:00,2011.2050511474608,2.518426926143681,-3.297235838829826,-0.0006543959715703594,signal_exit
long,504,2023-11-27 05:00:00+00:00,2012.7058011474608,2.503199381750226,5035.686074040397,2.5178430370201985,0.43235798094213895,bull,7.43234805152529,13.213063202711627,507,2023-11-27 08:00:00+00:00,2013.4927500000001,2.520086903479281,-0.5501970223335628,-0.00010925959526545916,signal_exit
short,508,2023-11-27 09:00:00+00:00,2012.8930744018555,2.499703060222858,5034.15205401072,2.51707602700536,0.4028721562186117,bull,7.475711495535785,13.290153769841396,515,2023-11-27 15:00:00+00:00,2011.805448852539,2.514458118534856,0.20428279546846362,4.0579385222524424e-05,signal_exit
long,516,2023-11-27 15:30:00+00:00,2012.1555994262694,2.5025461036211296,5032.995657394952,2.516497828697476,0.5333325763042998,bull,7.17429199218747,12.754296874999948,530,2023-11-28 00:00:00+00:00,2016.1913511962891,2.522805905045447,7.576848962200144,0.0015054352274410415,signal_exit
long,532,2023-11-28 02:00:00+00:00,2016.207551147461,2.4987723079456483,5035.525832961704,2.517762916480852,0.4175634224767115,bull,4.5449497767857725,8.079910714285818,535,2023-11-28 05:00:00+00:00,2014.192351196289,2.5165040350226118,-7.552029867983569,-0.001499749999999852,signal_exit
long,538,2023-11-28 08:00:00+00:00,2016.6077755737301,2.4957784270200247,5030.490936569471,2.5152454682847356,0.628963063874395,bull,4.769981166294585,8.47996651785704,544,2023-11-28 14:00:00+00:00,2025.5866755981444,2.5277077635085288,19.88163721579413,0.003952226028530002,takeprofit
long,549,2023-11-28 16:30:00+00:00,2042.1705383605959,2.468791721751502,5039.174132443226,2.519587066221613,0.5913825474840193,bull,10.800015694754435,19.200027901785663,561,2023-11-29 00:00:00+00:00,2048.975,2.5292462590378917,14.269552307298808,0.002831724392183341,signal_exit
short,562,2023-11-29 01:00:00+00:00,2048.275398803711,2.4618401380260218,5045.0491150637645,2.522524557531882,0.3725780438427624,bull,6.942857142857114,12.342857142857092,564,2023-11-29 03:00:00+00:00,2046.0224999999998,2.518490156902173,3.0277865449858457,0.0006001500631471211,signal_exit
long,565,2023-11-29 04:00:00+00:00,2047.723301147461,2.465091057029983,5045.301746057492,2.5226508730287462,0.5858825341905944,bull,6.132882254464315,10.902901785714338,569,2023-11-29 08:00:00+00:00,2062.768148803711,2.542455658171161,34.544463753629245,0.006846857827804459,takeprofit
short,593,2023-11-30 01:00:00+00:00,2062.268398803711,2.453018239093448,5061.312652497792,2.5306563262488964,0.3679674777086379,bull,36.25069231305789,64.44567522321402,602,2023-11-30 11:00:00+00:00,2058.128647705078,2.524313555610645,7.630571394643555,0.0015076269573818593,signal_exit
long,604,2023-11-30 13:00:00+00:00,2057.4281022949217,2.4624892289970113,5063.86261003199,2.531931305015995,0.42357054318377707,bull,10.221428571428572,18.171428571428574,608,2023-11-30 15:30:00+00:00,2057.720625,2.5335574376737493,-1.8132234271812702,-0.0003580712129885008,signal_exit
long,614,2023-11-30 18:30:00+00:00,2056.37765057373,1.7238830685543158,3543.1830228661233,1.7715915114330618,0.5498734800512413,bear,9.95792933872762,17.702985491071328,622,2023-12-01 00:00:00+00:00,2060.46925,1.776004026675905,5.277434947577463,0.001489461569870721,signal_exit
short,623,2023-12-01 01:00:00+00:00,2060.069547607422,1.7196690602747764,3544.4100680687734,1.7722050340343867,0.42557060553051773,bear,5.772828892298932,10.262806919642546,626,2023-12-01 04:00:00+00:00,2060.629897705078,1.7718007398803,-2.735417465741202,-0.0007717553593429545,signal_exit
short,631,2023-12-01 09:00:00+00:00,2065.1668511962894,1.7146609640487522,3542.832400193852,1.7714162000969262,0.37394327651848225,bear,5.753492954799049,10.228431919642754,632,2023-12-01 10:00:00+00:00,2064.331698852539,1.7698144904354465,-0.3378113675728216,-9.535064869406118e-05,signal_exit
long,633,2023-12-01 11:00:00+00:00,2057.4281022949217,1.7224734189629751,3542.0941705451673,1.7710470852725837,0.36211496104668517,bear,6.872105189732143,12.217075892857144,638,2023-12-01 15:00:00+00:00,2067.9655000000002,1.7810078025412395,16.369379649498228,0.004621384655896599,signal_exit
long,646,2023-12-01 19:00:00+00:00,2088.0434999999998,2.428094727183686,5067.433695632352,2.533716847816176,0.5098559982968762,bull,17.736375209263453,31.531333705357248,667,2023-12-02 14:00:00+00:00,2105.8785017895502,2.5566362431423437,40.74843756137711,0.008041237440659243,signal_exit
short,672,2023-12-02 19:00:00+00:00,2110.3562666699218,2.409070859624822,5086.5410559891325,2.5432705279945664,0.49483942687794635,bull,36.311603027343764,64.55396093750004,701,2023-12-04 00:00:00+00:00,2116.657897705078,2.5495894305780205,-17.730665125480595,-0.0034858000614393305,signal_exit
short,740,2023-12-05 08:00:00+00:00,2051.3737023925783,1.7313793757521407,3553.4828617136764,1.776741430856838,0.4684228053497328,bear,8.9228759765625,15.862890625,746,2023-12-05 14:00:00+00:00,2035.9174744262693,1.7624727629775145,24.998121564813328,0.007034822605773852,signal_exit
long,748,2023-12-05 15:00:00+00:00,2035.317198852539,1.7507792652378176,3561.610344760561,1.7808051723802805,0.49825026637030834,bear,13.692904227120593,24.34294084821439,765,2023-12-06 04:00:00+00:00,2038.0804255981445,1.7841144750121491,3.0536856163450175,0.0008573890237143024,signal_exit
short,767,2023-12-06 06:00:00+00:00,2042.6781011962892,1.7429446288695343,3562.055852915949,1.7810279264579745,0.43065266947062963,bear,5.727894810267916,10.182924107142961,768,2023-12-06 07:00:00+00:00,2052.52575,1.7887193657894562,-18.95262595521046,-0.005320698702603322,stop
short,769,2023-12-06 08:00:00+00:00,2041.7786488037111,1.740160069066287,3554.7990740573646,1.7773995370286824,0.5399429097770614,bear,7.495720563616189,13.32572544642878,769,2023-12-06 08:00:00+00:00,2043.8214488525389,1.7782882367971966,-5.33308731085417,-0.00150024999999989,signal_exit
long,770,2023-12-06 09:00:00+00:00,2039.6192755737302,1.7425245002465952,3552.3104036606064,1.7761552018303033,0.49522598309801147,bear,8.100000000000117,14.400000000000208,774,2023-12-06 13:00:00+00:00,2046.8760744018555,1.783365854306903,10.861783897062088,0.0030576674509832165,signal_exit
short,775,2023-12-06 14:00:00+00:00,2041.7786488037111,1.7404984769525456,3555.490373703937,1.7777451868519687,0.35854738564413524,bear,9.93856201171878,17.668554687500052,776,2023-12-06 14:30:00+00:00,2046.5227499999999,1.7809848647118676,-10.038085771361025,-0.002823263380376934,signal_exit
long,777,2023-12-06 15:00:00+00:00,2049.2240511474606,2.229288033937866,4566.027642259582,2.283013821129791,0.44765596900006766,neutral,11.571381487165208,20.571344866071485,781,2023-12-06 17:00:00+00:00,2046.2763988037111,2.2808697449912905,-8.852035843120943,-0.0019386732925559672,signal_exit
short,783,2023-12-06 18:00:00+00:00,2047.275898803711,2.474147537623873,5067.796522122964,2.533898261061482,0.4170949920424212,bull,11.31423863002238,20.114202008928675,789,2023-12-06 21:00:00+00:00,2044.4217244262695,2.5291004876770034,4.532548020218367,0.0008943824007992383,signal_exit
long,790,2023-12-06 22:00:00+00:00,2044.821887786865,2.4800840969160425,5068.795847002543,2.5343979235012717,0.4057961994608761,bull,8.145012555803689,14.48002232142878,792,2023-12-07 00:00:00+00:00,2044.4772500000001,2.5352377571158224,-3.3899684515159545,-0.0006687916723891392,signal_exit
long,796,2023-12-07 04:00:00+00:00,2044.321698852539,2.4792411994119004,5065.833663815035,2.5329168319075177,0.449977906008856,bull,5.5864693777902374,9.931501116071534,800,2023-12-07 08:00:00+00:00,2048.775148803711,2.5397038786227037,8.501472719841814,0.0016781981573077214,signal_exit
short,802,2023-12-07 10:00:00+00:00,2049.4747500000003,2.47199119324994,5068.817941759002,2.534408970879501,0.5753612190427917,bull,5.804995291573632,10.319991629464234,806,2023-12-07 14:00:00+00:00,2044.0214999999998,2.5264015734067664,10.953984401183952,0.002161053035845011,signal_exit
long,807,2023-12-07 14:30:00+00:00,2045.52225,2.481304832220178,5073.027729474154,2.536513864737077,0.38704670954206466,bull,9.321381487165091,16.57134486607127,813,2023-12-07 17:30:00+00:00,2045.3268005981445,2.5375396368968057,-3.022509182175351,-0.0005957998543186852,signal_exit
short,816,2023-12-07 19:00:00+00:00,2045.676601196289,2.477279688724102,5070.248217950697,2.5351241089753485,0.5028321679973937,bull,12.317109898158511,21.897084263392912,820,2023-12-07 21:00:00+00:00,2046.322698852539,2.534656829221241,-4.135221429980994,-0.0008155855990128185,signal_exit
short,824,2023-12-08 01:00:00+00:00,2047.575797607422,1.731347731401897,3546.839131626853,1.7734195658134266,0.38728812642048394,bear,7.759298270089403,13.794308035714494,837,2023-12-08 14:00:00+00:00,2025.9124744262695,1.7537794833083626,35.75296596100631,0.010080233310329824,takeprofit
short,838,2023-12-08 14:30:00+00:00,2024.087486602783,1.7573116925141943,3558.7319728651705,1.7793659864325853,0.4435677325751539,bear,10.337130301339258,18.377120535714237,838,2023-12-08 14:30:00+00:00,2026.112586639404,1.7802556694258016,-5.3389876422909905,-0.0015002500000000053,signal_exit
short,841,2023-12-08 16:00:00+00:00,2017.2908988037111,1.7619979502849232,3556.240549095117,1.7781202745475584,0.36861573718223273,bear,12.908598109654017,22.948618861607144,844,2023-12-08 17:30:00+00:00,2015.1570383605958,1.7753512855468032,1.9845064414164155,0.0005580349287455743,signal_exit
long,845,2023-12-08 18:00:00+00:00,2016.207551147461,1.7647443779390035,3556.312784253521,1.7781563921267605,0.7372130895602049,bear,14.927155412946428,26.537165178571428,902,2023-12-11 00:00:00+00:00,2019.4897500000002,1.781941591308972,4.010300380987352,0.0011276568244345594,signal_exit
short,903,2023-12-11 01:00:00+00:00,2016.691101196289,2.518492853058235,5081.562906642317,2.540781453321159,0.5228726224259272,bull,7.1902736467631785,12.782708705356761,916,2023-12-11 14:00:00+00:00,2003.3011988525388,2.5226498759165565,31.1997234799656,0.006139788890379212,takeprofit
short,917,2023-12-11 14:30:00+00:00,1999.1499494018556,1.7834285532676106,3567.1246643589475,1.7835623321794738,0.7447014677168005,bear,9.327855573381726,16.582854352678623,921,2023-12-11 16:30:00+00:00,1995.647288360596,1.7795471781566838,4.467198535243603,0.001252324758895526,signal_exit
long,922,2023-12-11 17:00:00+00:00,1993.1960511474608,1.7910169784569927,3568.06393703002,1.7840319685150101,0.37831775615270113,bear,10.761469377790178,19.13150111607143,940,2023-12-12 09:00:00+00:00,2000.0994255981443,1.7911060149241775,10.572954834896183,0.0029632189953683634,signal_exit
short,941,2023-12-12 10:00:00+00:00,2000.3993244018557,1.7843209835468818,3571.140060033253,1.7855700300166266,0.3791324512539187,bear,5.496467808314703,9.771498325892807,950,2023-12-12 16:30:00+00:00,1995.547262786865,1.7803484273250736,6.877286925764899,0.0019257959111524908,signal_exit
long,951,2023-12-12 17:00:00+00:00,1993.8964744262694,1.7928255894307839,3572.922160946765,1.7864610804733825,0.5099965208381203,bear,9.450047084263364,16.800083705357093,959,2023-12-12 21:00:00+00:00,1994.0025,1.7874493536944784,-1.5973639919759763,-0.0004470749487452314,signal_exit
short,960,2023-12-12 22:00:00+00:00,1995.3518005981443,1.78913410266308,3571.7378221714075,1.7858689110857038,0.3738879358804008,bear,5.277894810267829,9.382924107142806,965,2023-12-13 03:00:00+00:00,1993.8964744262694,1.7836740897878613,0.8200995948118119,0.00022960800474241958,signal_exit
long,966,2023-12-13 04:00:00+00:00,1993.9965,1.7919718027650335,3571.399802910712,1.785699901455356,0.44374699606044565,bear,3.9407488141741367,7.00577566964291,968,2023-12-13 06:00:00+00:00,1988.3053988037111,1.7814936049708676,-11.97978647540281,-0.00335436723316141,stop
long,969,2023-12-13 07:00:00+00:00,1995.0970255737302,1.7885672365202367,3566.5818826788113,1.7832909413394058,0.6581540659834229,bear,4.731427001953155,8.411425781250053,971,2023-12-13 09:00:00+00:00,1996.50125,1.7854383617108494,0.7261114398366675,0.00020358748620438093,signal_exit
long,977,2023-12-13 15:30:00+00:00,1997.6483494262695,1.7860976266483293,3566.211869853286,1.783105934926643,0.4006241734432774,bear,6.576439557756755,11.691448102678677,981,2023-12-13 18:30:00+00:00,2012.0934255981444,1.7968976460277764,24.003418621312573,0.006730788718478489,takeprofit
short,1005,2023-12-14 15:00:00+00:00,2053.9725000000003,2.4845248378821836,5105.698541847887,2.5528492709239434,0.5014375990353426,bull,12.419965471540209,22.079938616071484,1010,2023-12-14 17:30:00+00:00,2049.2241732788084,2.5456741784498917,9.251661498730963,0.0018120265861569145,signal_exit
long,1011,2023-12-14 18:00:00+00:00,2046.822948852539,2.497334942820221,5109.047947961791,2.5545239739808956,0.35195592822331534,bull,12.638546316964314,22.46852678571434,1015,2023-12-14 20:00:00+00:00,2050.074547607422,2.559861401563186,5.560469789037878,0.0010883573310867395,signal_exit
short,1017,2023-12-14 21:00:00+00:00,2050.274398803711,2.4913717151173937,5110.550920869319,2.5552754604346597,0.3547869324193418,bull,10.01579589843753,17.80585937500005,1020,2023-12-15 00:00:00+00:00,2047.823448852539,2.550944709012683,3.555282674505079,0.0006956750318222669,signal_exit
long,1021,2023-12-15 01:00:00+00:00,2047.52325,2.497459528207356,5111.050924476354,2.5555254622381773,0.4428876938021109,bull,7.373693847656309,13.108789062500106,1028,2023-12-15 08:00:00+00:00,2053.672601196289,2.564482102838029,12.793273634628475,0.002503061273242781,signal_exit
short,1029,2023-12-15 09:00:00+00:00,2056.2713988037112,2.238153263705569,4604.552818706295,2.3022764093531474,0.571054658379931,neutral,5.567204066685327,9.897251674107247,1033,2023-12-15 13:00:00+00:00,2046.7228011474608,2.290439658644397,19.080785349503635,0.004143895422805599,signal_exit
long,1035,2023-12-15 14:30:00+00:00,2049.5243110656734,2.2514537516775848,4612.103147729363,2.3060515738646816,0.45238017831489263,neutral,8.549992152622826,15.199986049107247,1038,2023-12-15 16:00:00+00:00,2047.1758511962892,2.3045608752598192,-7.592009658849571,-0.0016461057820416009,signal_exit
short,1039,2023-12-15 16:30:00+00:00,2046.6261383972171,2.250213221292658,4607.649020174642,2.303824510087321,0.528885837670632,neutral,9.353547886439703,16.628529575892806,1041,2023-12-15 17:30:00+00:00,2041.4702372131346,2.2968716593262273,9.305005352774659,0.0020194692156526224,signal_exit
long,1044,2023-12-15 19:00:00+00:00,2034.11652557373,1.7638962530373332,3586.1774289863283,1.7930887144931642,0.4249857630351379,bear,12.246405029296817,21.771386718749895,1048,2023-12-15 21:00:00+00:00,2032.7831488037111,1.792809289706149,-4.144747578229492,-0.0011557564176073265,signal_exit
short,1050,2023-12-15 23:00:00+00:00,2032.6712028515626,1.7623642877732715,3584.099186283875,1.7920495931419376,0.4202910363462611,bear,9.051110595703053,16.090863281249874,1116,2023-12-18 16:30:00+00:00,2043.121086639404,1.800361819344903,-20.216863818417256,-0.005640709915558682,stop
