entry_idx,entry_date,side,entry_price,units,risk_frac,conf_weight,vol_scale,trend_weight,exit_idx,exit_price,gross_ret,net_ret,pct_ret,pre_equity,post_equity,exit_reason
211,2023-11-16 10:00:00+00:00,long,1968.5837755737302,,0.02304213737057858,0.8248369064601048,1.4,0.9976923572108212,,,,,,,,
211,,short,1968.5837755737302,,,,,,212.0,1969.08402557373,-0.0002540521346487967,-0.0017540521346487968,,,,sl
215,2023-11-16 14:00:00+00:00,long,1983.6913011474608,,0.022770954741269646,0.8140178346789212,1.4,0.9990547491352552,,,,,,,,
215,,short,1983.6913011474608,,,,,,216.0,1986.292637786865,-0.0013096442034356004,-0.0028096442034356004,,,,sl
219,2023-11-16 16:00:00+00:00,long,1986.0925255737302,,0.021578520281875367,0.7687717523353284,1.4,1.0024580589717784,,,,,,,,
219,,short,1986.0925255737302,,,,,,220.0,1986.792887786865,-0.00035250891899207826,-0.0018525089189920783,,,,sl
223,2023-11-16 18:00:00+00:00,long,1988.293698852539,,0.02226148978567879,0.7903016200963862,1.4,1.006012370991242,,,,,,,,
223,,short,1988.293698852539,,,,,,224.0,1987.8934744262694,0.0002013309221133852,-0.0012986690778866148,,,,sl
227,2023-11-16 20:00:00+00:00,long,1984.8919744262694,,0.021713857361525046,0.7687717523353284,1.4,1.0087453179867758,,,,,,,,
227,,short,1984.8919744262694,,,,,,228.0,1985.092086639404,-0.00010080752146535144,-0.0016008075214653515,,,,sl
231,2023-11-16 23:00:00+00:00,long,1986.1925511474608,,0.022422441283721464,0.7923311593336679,1.4,1.0106903723085676,,,,,,,,
231,,short,1986.1925511474608,,,,,,232.0,1988.4937499999999,-0.0011572572720125462,-0.0026572572720125463,,,,sl
235,2023-11-17 03:00:00+00:00,long,1990.0945255737302,,0.023997080452225195,0.846523581805358,1.4,1.012421397348067,,,,,,,,
235,,short,1990.0945255737302,,,,,,236.0,1989.59427557373,0.0002514331721505947,-0.0012485668278494053,,,,sl
239,2023-11-17 07:00:00+00:00,long,1991.1950511474608,,0.023983415198670737,0.846523581805358,1.4,1.011844869085545,,,,,,,,
239,,short,1991.1950511474608,,,,,,240.0,1992.3957244262695,-0.0006026279137666402,-0.00210262791376664,,,,sl
243,2023-11-17 11:00:00+00:00,long,1992.5957755737302,,0.022702374405254702,0.8012774994617651,1.4,1.0118830073808194,,,,,,,,
243,,short,1992.5957755737302,,,,,,244.0,1992.3957244262695,0.0001004073362576019,-0.0013995926637423981,,,,sl
247,2023-11-17 14:30:00+00:00,long,1985.4422372131346,,0.022419874259332343,0.7923311593336679,1.4,1.0105746638180095,,,,,,,,
247,,short,1985.4422372131346,,,,,,248.0,1986.993,-0.000780457096157483,-0.002280457096157483,,,,sl
251,2023-11-17 17:30:00+00:00,long,1985.242125,,0.02325262322762499,0.8228073672228229,1.4,1.0092894918539816,,,,,,,,
251,,short,1985.242125,,,,,,252.0,1985.6923011474607,-0.00022670992237849852,-0.0017267099223784985,,,,sl
255,2023-11-17 19:30:00+00:00,long,1984.3916633605959,,0.023204830796916046,0.8228073672228229,1.4,1.0072150421184616,,,,,,,,
255,,short,1984.3916633605959,,,,,,256.0,1984.59177557373,-0.00010083293481166766,-0.0016008329348116677,,,,sl
259,2023-11-17 22:00:00+00:00,long,1984.3616849999999,,0.02254705912102706,0.8012774994617651,1.4,1.0049603439584376,,,,,,,,
259,,short,1984.3616849999999,,,,,,260.0,1984.2316199999998,6.554930316049479e-05,-0.0014344506968395052,,,,sl
263,2023-11-18 02:00:00+00:00,long,1983.8414249999998,,0.023184515362181017,0.8267098931023826,1.4,1.0015827954893417,,,,,,,,
263,,short,1983.8414249999998,,,,,,264.0,1983.71136,6.556649451261443e-05,-0.0014344335054873856,,,,sl
267,2023-11-18 06:00:00+00:00,long,1983.3211649999998,,0.02151855616728889,0.7687717523353284,1.4,0.999672348499925,,,,,,,,
267,,short,1983.3211649999998,,,,,,268.0,1983.1911,6.558369488440796e-05,-0.001434416305115592,,,,sl
271,2023-11-18 10:00:00+00:00,long,1982.8009049999998,,0.022396390203749113,0.8012774994617651,1.4,0.9982447769251174,,,,,,,,
271,,short,1982.8009049999998,,,,,,272.0,1982.67084,6.560090428320287e-05,-0.0014343990957167972,,,,sl
275,2023-11-18 14:00:00+00:00,long,1982.2806449999998,,0.022373360381511886,0.8012774994617651,1.4,0.9972182990171741,,,,,,,,
275,,short,1982.2806449999998,,,,,,276.0,1982.15058,6.561812271588252e-05,-0.0014343818772841175,,,,sl
279,2023-11-18 18:00:00+00:00,long,1981.7603849999998,,0.022369755537846543,0.8012774994617651,1.4,0.9970576250724972,,,,,,,,
279,,short,1981.7603849999998,,,,,,280.0,1981.63032,6.56353501897744e-05,-0.0014343646498102256,,,,sl
283,2023-11-18 22:00:00+00:00,long,1981.2401249999998,,0.022213479174371154,0.7957670733381726,1.4,0.996948188134804,,,,,,,,
283,,short,1981.2401249999998,,,,,,284.0,1981.1100599999997,6.565258671198393e-05,-0.001434347413288016,,,,sl
287,2023-11-19 02:00:00+00:00,long,1980.7198649999998,,0.02236412151527681,0.8012774994617651,1.4,0.9968065072114425,,,,,,,,
287,,short,1980.7198649999998,,,,,,288.0,1980.5897999999997,6.566983228939449e-05,-0.0014343301677106055,,,,sl
291,2023-11-19 06:00:00+00:00,long,1980.199605,,0.02236016269552281,0.8012774994617651,1.4,0.996630055957188,,,,,,,,
291,,short,1980.199605,,,,,,292.0,1980.0695399999997,6.568708692933356e-05,-0.0014343129130706665,,,,sl
295,2023-11-19 10:00:00+00:00,long,1979.679345,,0.022361558113234013,0.8012774994617651,1.4,0.9966922520713459,,,,,,,,
295,,short,1979.679345,,,,,,296.0,1979.5492799999997,6.570435063890656e-05,-0.0014342956493610935,,,,sl
299,2023-11-19 14:00:00+00:00,long,1979.159085,,0.021456860039084407,0.7687717523353284,1.4,0.996806175096094,,,,,,,,
299,,short,1979.159085,,,,,,300.0,1979.02902,6.572162342521892e-05,-0.0014342783765747811,,,,sl
303,2023-11-19 18:00:00+00:00,long,1978.638825,,0.0214674041046772,0.7687717523353284,1.4,0.9972960132958292,,,,,,,,
303,,short,1978.638825,,,,,,304.0,1978.50876,6.573890529559812e-05,-0.001434261094704402,,,,sl
307,2023-11-19 22:00:00+00:00,long,1978.118565,,0.02207065821210996,0.7903016200963862,1.4,0.997388558046366,,,,,,,,
307,,short,1978.118565,,,,,,308.0,1977.9885,6.575619625692752e-05,-0.0014342438037430725,,,,sl
311,2023-11-20 02:00:00+00:00,long,1986.3927244262695,,0.02274765728226978,0.8140178346789212,1.4,0.9980325944947905,,,,,,,,
311,,short,1986.3927244262695,,,,,,312.0,1985.8924744262695,0.0002519018559374864,-0.0012480981440625137,,,,sl
315,2023-11-20 06:00:00+00:00,long,1983.2911988525389,,0.022105624935541194,0.7903016200963862,1.4,0.9989687288562943,,,,,,,,
315,,short,1983.2911988525389,,,,,,316.0,1981.790448852539,0.0007572697713165155,-0.0007427302286834845,,,,sl
319,2023-11-20 10:00:00+00:00,long,1978.9889999999998,,0.022117778622974357,0.7903016200963862,1.4,0.9995179625342123,,,,,,,,
319,,short,1978.9889999999998,,,,,,326.0,1976.5877755737301,0.0012148331867389839,-0.00028516681326101615,,,,sl
327,2023-11-20 16:00:00+00:00,long,1977.9885,,0.0236858552518486,0.846523581805358,1.4,0.9992910062205917,,,,,,,,
327,,short,1977.9885,,,,,,328.0,1977.6383494262693,0.0001770549068449423,-0.0013229450931550577,,,,sl
331,2023-11-20 18:00:00+00:00,long,1980.8899744262694,,0.023674522982014442,0.846523581805358,1.4,0.998812905041431,,,,,,,,
331,,short,1980.8899744262694,,,,,,332.0,1981.340211639404,-0.00022723871977647914,-0.0017272387197764792,,,,sl
335,2023-11-20 20:00:00+00:00,long,1981.2901988525389,,0.022147516135382336,0.7923311593336679,1.4,0.9982981355750238,,,,,,,,
335,,short,1981.2901988525389,,,,,,336.0,1981.2401249999998,2.5273994760821594e-05,-0.0014747260052391784,,,,sl
339,2023-11-20 23:00:00+00:00,long,1984.0915255737302,,0.02366861370305366,0.846523581805358,1.4,0.9985635963609562,,,,,,,,
339,,short,1984.0915255737302,,,,,,340.0,1989.09402557373,-0.0025149640668982176,-0.004014964066898217,,,,sl
343,2023-11-21 03:00:00+00:00,long,1995.8974744262694,,0.02432586673788429,0.8674431220352431,1.4,1.0015422715970783,,,,,,,,
343,,short,1995.8974744262694,,,,,,344.0,1994.796948852539,0.0005516980434341345,-0.0009483019565658655,,,,sl
347,2023-11-21 07:00:00+00:00,long,1995.297198852539,,0.02319615107863938,0.8248369064601048,1.4,1.0043609356055563,,,,,,,,
347,,short,1995.297198852539,,,,,,353.0,2000.59977557373,-0.0026504935099627147,-0.004150493509962714,,,,sl
354,2023-11-21 14:00:00+00:00,long,2008.6037755737302,,0.022301217358315258,0.7903016200963862,1.4,1.0078076879231508,,,,,,,,
354,,short,2008.6037755737302,,,,,,355.0,2008.0535127868652,0.00027402794963427013,-0.00122597205036573,,,,sl
358,2023-11-21 16:00:00+00:00,long,2004.301698852539,,0.02176223577452725,0.7687717523353284,1.4,1.010992799712159,,,,,,,,
358,,short,2004.301698852539,,,,,,359.0,2004.50175,-9.980093430250747e-05,-0.0015998009343025075,,,,sl
362,2023-11-21 18:00:00+00:00,long,2001.9004744262695,,0.021786017838437657,0.7687717523353284,1.4,1.0120976262393975,,,,,,,,
362,,short,2001.9004744262695,,,,,,363.0,2002.550762786865,-0.000324730025665132,-0.001824730025665132,,,,sl
