side,entry_idx,entry_date,entry_price,units,risk_frac,conf_strength,exit_idx,exit_date,exit_price,exit_reason,pct_ret
long,2161,2024-01-24 14:30:00+00:00,2021.7603749999998,0.0667305883604446,0.013508781920652085,0.1754390960326042,2162.0,2024-01-24 15:00:00+00:00,2014.9920000000002,sl,-5.85949265447254e-05
long,2164,2024-01-24 16:00:00+00:00,2017.308198852539,0.0702283681689847,0.01418638805158166,0.209319402579083,2170.0,2024-01-24 19:00:00+00:00,2011.8935744018556,sl,-5.217571286600827e-05
long,2214,2024-01-26 08:00:00+00:00,2021.3101988525389,0.06997738256052201,0.014164469905428283,0.20822349527141415,2220.0,2024-01-26 14:00:00+00:00,2019.0899255981444,sl,-2.9720243543602362e-05
long,2221,2024-01-26 14:30:00+00:00,2019.5092499999998,0.07003770507568019,0.014164469905428283,0.20822349527141415,2222.0,2024-01-26 15:00:00+00:00,2015.8915744018557,sl,-3.950684720473274e-05
long,2224,2024-01-26 16:00:00+00:00,2018.808948852539,0.07016764228630172,0.01418638805158166,0.209319402579083,2226.0,2024-01-26 17:00:00+00:00,2015.1918511962892,sl,-3.9572717377779664e-05
long,2227,2024-01-26 17:30:00+00:00,2017.558262786865,0.07020836082125782,0.01418638805158166,0.209319402579083,2296.0,2024-01-29 13:00:00+00:00,2035.4817500000001,tp,0.00011294843316447859
long,2297,2024-01-29 14:00:00+00:00,2024.9119744262694,0.06232545735655261,0.012638033123819087,0.1319016561909543,2322.0,2024-01-30 08:00:00+00:00,2055.571797607422,tp,0.00018160591010042988
long,2323,2024-01-30 09:00:00+00:00,2055.027,0.061423272894293425,0.012638033123819087,0.1319016561909543,2330.0,2024-01-30 15:00:00+00:00,2049.8744523925784,sl,-4.425834081478268e-05
long,2331,2024-01-30 15:30:00+00:00,2053.52625,0.06146544153082163,0.012638033123819087,0.1319016561909543,2366.0,2024-01-31 17:30:00+00:00,2065.1169494018554,sl,5.908504695317122e-05
long,2367,2024-01-31 18:00:00+00:00,2065.632397705078,0.060828434194174275,0.01258004628846818,0.12900231442340893,2370.0,2024-01-31 19:30:00+00:00,2057.071047607422,sl,-6.451633933878655e-05
long,2371,2024-01-31 20:00:00+00:00,2054.126647705078,0.06144714191242813,0.012638033123819087,0.1319016561909543,2386.0,2024-02-01 10:00:00+00:00,2047.775648803711,sl,-5.160430457189424e-05
long,2387,2024-02-01 11:00:00+00:00,2051.325198852539,0.06906600296184201,0.01418638805158166,0.209319402579083,2391.0,2024-02-01 14:30:00+00:00,2065.5666755981442,tp,8.497387488228011e-05
long,2392,2024-02-01 15:00:00+00:00,2070.53475,0.060962233542993106,0.012638033123819087,0.1319016561909543,2416.0,2024-02-02 09:00:00+00:00,2069.065047607422,sl,-2.1614999752246118e-05
long,2417,2024-02-02 10:00:00+00:00,2072.7358011474607,0.06537128036810812,0.013566768756002996,0.1783384378001498,2420.0,2024-02-02 13:00:00+00:00,2047.3757023925782,sl,-0.00017753788782458446
long,2421,2024-02-02 14:00:00+00:00,2053.126147705078,0.0644805007634684,0.01325765241939775,0.16288262096988748,2486.0,2024-02-05 00:00:00+00:00,2051.074047607422,sl,-2.650867932534091e-05
long,2537,2024-02-06 17:00:00+00:00,2054.326698852539,0.061429343350569716,0.012638033123819087,0.1319016561909543,2545.0,2024-02-06 23:00:00+00:00,2050.274398803711,sl,-3.753082640183617e-05
