iter	Passed	Remaining
591	2579	1777
592	2582	1772
593	2586	1767
594	2591	1763
595	2595	1759
596	2598	1754
597	2602	1749
598	2608	1746
599	2612	1741
600	2617	1738
601	2623	1734
602	2627	1729
603	2632	1725
604	2636	1721
605	2640	1717
606	2644	1712
607	2648	1707
608	2652	1702
609	2656	1698
610	2660	1693
611	2663	1688
612	2667	1684
613	2672	1679
614	2675	1675
615	2679	1670
616	2683	1665
617	2687	1661
618	2691	1656
619	2695	1651
620	2700	1647
621	2704	1643
622	2709	1639
623	2714	1635
624	2719	1631
625	2723	1627
626	2728	1623
627	2734	1619
628	2738	1615
629	2742	1610
630	2746	1606
631	2754	1603
632	2758	1599
633	2763	1595
634	2769	1591
635	2773	1587
636	2777	1582
637	2782	1578
638	2786	1574
639	2790	1569
640	2793	1564
641	2798	1560
642	2802	1555
643	2806	1551
644	2809	1546
645	2814	1542
646	2818	1537
647	2822	1533
648	2825	1528
649	2830	1524
650	2834	1519
651	2837	1514
652	2841	1509
653	2846	1505
654	2849	1501
655	2853	1496
656	2857	1491
657	2862	1487
658	2865	1482
659	2869	1478
660	2873	1473
661	2877	1469
662	2881	1464
663	2885	1459
664	2888	1455
665	2893	1450
666	2897	1446
667	2901	1441
668	2904	1437
669	2910	1433
670	2914	1428
671	2918	1424
672	2922	1419
673	2926	1415
674	2930	1411
675	2934	1406
676	2938	1401
677	2942	1397
678	2946	1392
679	2950	1388
680	2953	1383
681	2958	1379
682	2962	1374
683	2966	1370
684	2969	1365
685	2974	1361
686	2978	1356
687	2981	1352
688	2985	1347
689	2990	1343
690	2994	1339
691	2998	1334
692	3001	1329
693	3006	1325
694	3010	1321
695	3014	1316
696	3017	1311
697	3022	1307
698	3027	1303
699	3030	1298
700	3034	1294
701	3039	1290
702	3042	1285
703	3046	1280
704	3050	1276
705	3054	1272
706	3058	1267
707	3061	1262
708	3065	1258
709	3069	1253
710	3073	1249
711	3077	1244
712	3080	1240
713	3085	1235
714	3089	1231
715	3092	1226
716	3096	1222
717	3100	1217
718	3104	1213
719	3107	1208
720	3111	1204
721	3115	1199
722	3119	1195
723	3122	1190
724	3126	1185
725	3130	1181
726	3134	1176
727	3137	1172
728	3141	1167
729	3145	1163
730	3149	1159
731	3153	1154
732	3157	1150
733	3161	1145
734	3165	1141
735	3168	1136
736	3172	1131
737	3175	1127
738	3179	1122
739	3183	1118
740	3187	1114
741	3191	1109
742	3195	1105
743	3198	1100
744	3202	1096
745	3206	1091
746	3209	1087
747	3213	1082
748	3217	1078
749	3220	1073
750	3225	1069
751	3229	1065
752	3234	1060
753	3238	1056
754	3243	1052
755	3247	1048
756	3252	1044
757	3257	1039
758	3261	1035
759	3266	1031
760	3270	1027
761	3275	1022
762	3279	1018
763	3284	1014
764	3289	1010
765	3294	1006
766	3298	1002
767	3303	997
768	3308	993
769	3312	989
770	3316	985
771	3321	980
772	3326	976
773	3330	972
774	3335	968
775	3339	963
776	3343	959
777	3346	955
778	3350	950
779	3354	946
780	3357	941
781	3361	937
782	3365	932
783	3368	928
784	3372	923
785	3376	919
786	3379	914
787	3383	910
788	3387	905
789	3390	901
790	3394	896
791	3398	892
792	3401	887
793	3405	883
794	3409	879
795	3412	874
796	3416	870
797	3419	865
798	3423	861
799	3427	856
800	3430	852
801	3435	848
802	3439	843
803	3443	839
804	3447	835
805	3451	830
806	3456	826
807	3460	822
808	3463	817
809	3467	813
810	3471	808
811	3475	804
812	3478	800
813	3482	795
814	3486	791
815	3489	786
816	3493	782
817	3497	778
818	3500	773
819	3504	769
820	3507	764
821	3511	760
822	3515	756
823	3519	751
824	3522	747
